AARBERGSBOTTEN, Torhild
MANDT-BARTHOLSEN, Sonja
MANDT, Sonja
MANGER, Kari
MARTHINSEN, Kristian Finn
MARTHINSEN, Marianne
MATHISEN, Stein Bente
MELBY, Guri
MELING, A. Siri
MELING, Siri
MELKEVOLL, Laila
MELØYSUND, N. Karl
MERKESDAL, Thorbjørn
MEYER, Andreas Morten
MICAELSEN, Torgeir
MICHAELSEN, Åse
MICHELSEN, Lars-Henrik
MIKALSEN, Benn
MIKALSEN, Bjørg
MILDE, Eirik
MJØBERG, Nina
MOE, Borten Ola
MOE, Brustad Ceselie Anna
MOLAND, Marit Liv
MOLVIK, Sigbjørn
MOMYR, Michael
MONSEN, Erik Per
MYHRE, N. Peter
MYRAUNE, Lars
MYRLI, Sverre
MYRVOLL, Inge
NA, 
NÆSS, Are
NÆVDAL-BOLSTAD, Eivind
NAKKIM, Kjellaug
NAVARSETE, Signe Liv
NERGÅRD, Arnfinn
NESVIK, T. Harald
NESVIK, Tom Harald
NIELSEN, M. Eva
NILSEN, Oddvard
NILSSEN, Wisløff Åse
NISTAD, Aksel Thore
NISTAD, A. Thore
NISTAD, Marie Astrid
NJÅSTAD, André Helge
NØDSETH, Jacob
NORBERG, Stegegjerdet Anette
NORDAHL, Lange Irene
NORDÅS, Sjelmo Janne
NORDGREEN, Ragnar
NORDLUND, Willfred
NORDMELAN, Holstad Jorid
NORDSETH, Tore
NORDTUN, Tore
NORHEIM, Kristian
NORMAN, D. Victor
NORNES, Erlend
NØRVE, Røbekk Elisabeth
NORVOLL, Tomas
NYBAKK, Marit
NYBØ, Iselin
NYBORG, Selsvold Torill
NYHUS, Tove
NYMO, Tor
NYVOLL, Anita Hilde
ODDEN, Sturla Bjørn
ODLAND, Øyvind Jon
ODNES, Ivar
ØKLAND, Kari
OLLI, Karin Anne
OLRUD, Afseth Magnhild
OLSEN, Arne Per
OLSEN, Gunn
OLSEN, Henrik Dagfinn
OLSEN, Ingalill
OLSEN, Magnus Knut
OLSEN, Morten
OLSEN, Olav Jan
OLSEN, Strømstad Tom
OLSEN, Wenche
OMDAL, Oddny
OMLAND, Odd
ONARHEIM, Frode Leif
OPDAHL, Iren
OPEDAL, I. Ingrid
OPHEIM, Torfinn
OPSETH, Kjell
ØREBECH, Peter
ORLUND, Anita
ØRNLO, Heidi
ORTEN, Helge
OSMUNDNES, Steinar Per
ØSTBERG, Ivar
ØSTBY, Anita
ØSTREM, Bjørg-Irene
OTTERSTAD, Audun
ØVERAAS, Sollied Eli
ØVERÅS, Sollied Eli
ØYANGEN, Gunhild
ØYE, Signe
PEDERSEN, Helga
PEDERSEN, Torny
PEDERSEN, Veronica
PEDERSEN, Willy
PETERSEN, Jan
PETTERSEN, Tage
POLLESTAD, Geir
Presidenten
PRESTRUD, Mette Kari
RAFIQ, Afshan
RAHM, Yngve Bror
RAJA, Q. Abid
RAMIN-OSMUNDSEN, Manuela
RAMSØY, Nilsson Christina
RASMUSSEN, Petter Jan
RAUSTEIN, Kari
REIAKVAM, Hallset Oddvar
REIERTSEN, Marie Laila
REIKVAM, Rolf
REITEN, Steinar
REKSNES, Erlend Sigurd
REPRESENTANTENE, 
RESTAD, Gudmund
RIIS-JOHANSEN, Terje
RINDAL, Johannes
RINGSTAD, Jorunn
RISE, Lars
ROALDSEN, H. Rita
ROBERTSEN, Raymond
RØD, Henrik
RØHNE, Amund Nils
RØHNE, A. Nils
ROMMETVEIT, Magne
ROMMETVEIT, Mange
ROPSTAD, Ingolf Kjell
ROSETH, Atle Svein
RØSJORDE, J. Hans
ROTEVATN, Sveinung
RØTVEI, Ola
RØYS, Grande Heidi
RUDIHAGEN, Torstein
RUGTVEDT, Lisbet
RUI, Helen Anne
RUITER, de Freddy
RULLESTAD, Helga
RUNDHAUG, Karlstrøm Åshild
RUNNINGEN, Tomtum M. Heidi
RYAN, Inge
RYEN, Stenberg Inge Kent
RYGG, Filip
RYSSDAL, Arne Lars
RYTMAN, Jørund
SÆLE, Apelthun Anita
SAHL, Jan
SALLES, Corso Olivia
SAMUELSEN, Ellen
SAMUELSEN, Ivar Alf
SANDAL, Reidar
SANDAUNE, Harriet Lill
SANDBERG, Per
SANDE, Erling
SANNER, Tore Jan
SAXI, Kirsti
SCHJØTT-PEDERSEN, Eirik Karl
SCHMIDT, M. Åse
SCHOU, Ingjerd
SEIERSTAD, Hans
SELE, Dag
SIMENSEN, Kåre
SIMONSEN, Jan
SIVERTSEN, Eirik
SJAASTAD, C. Anders
SJÅSTAD, Runar
SJØLI, Irene Sona
SJØLI, Irene Sonja
SJØLI, Sonja
SJØMÆLING, Knut
SKARBØVIK, Elsa
SKÅRMO, Ingrid
SKATTEM, Rui Aida Siv
SKAUG, Gunnar
SKJÆLAAEN, J. Rune
SKJÆLAAEN, Rune
SKJELSTAD, N. André
SKJELSTAD, Nikolai André
SKJERVØ, Endre
SKJØLBERG, Johanne
SKJØRESTAD, Endre
SKOGHOLT, Olav Einar
SKOGRAND, Elizabeth
SKOGSHOLM, Torild
SKOLAND, Eli
SKRETTING, Magnus
SKULSTAD, Ivar
SKUMSVOLL, Henning
SKUTLE, Erik
SLETBAKK, Fredrik
SLUNGÅRD, Kathrine Anne
SMEDSRUD, Thomas
SOLBERG, Erna
SOLBERG, Harald
SOLBERG, Hill-Marta
SOLBERG, Tvedt Torstein
SOLFALL, Johanne Greta
SOLHEIM, Erik
