last_name,first_name,id,session,party_name,party_id,gender,birth,death,fylke_name,fylke_id,version,party_version,fylke_version
Wisløff Nilssen,Åse,AWN,1997-2001,Kristelig Folkeparti,KrF,kvinne,1945-07-20T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Brørby,Berit,BB,1997-2001,Arbeiderpartiet,A,kvinne,1950-12-05T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Hegna,Bent,BEH,1997-2001,Arbeiderpartiet,A,mann,1959-06-10T00:00:00,0001-01-01T00:00:00,Telemark,Te,1.3,1.3,1.3
Arnesen,Bendiks H.,BEHA,1997-2001,Arbeiderpartiet,A,mann,1951-06-09T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Hanssen,Bjarne Håkon,BHH,1997-2001,Arbeiderpartiet,A,mann,1962-11-01T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
Hildeng,Britt,BHI,1997-2001,Arbeiderpartiet,A,kvinne,1943-04-14T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Hernæs,Bjørn,BJH,1997-2001,Høyre,H,mann,1936-11-23T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Brende,Børge,BJØB,1997-2001,Høyre,H,mann,1965-09-25T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Godal,Bjørn Tore,BTG,1997-2001,Arbeiderpartiet,A,mann,1945-01-20T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Rahm,Bror Yngve,BYR,1997-2001,Kristelig Folkeparti,KrF,mann,1955-01-04T00:00:00,0001-01-01T00:00:00,Telemark,Te,1.3,1.3,1.3
Hagen,Carl I.,CIH,1997-2001,Fremskrittspartiet,FrP,mann,1944-05-06T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Stensaker,Christopher,CS,1997-2001,Fremskrittspartiet,FrP,mann,1945-01-22T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Danielsen,Dag,DAD,1997-2001,Fremskrittspartiet,FrP,mann,1955-04-08T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Andersen,Dag Terje,DTA,1997-2001,Arbeiderpartiet,A,mann,1957-05-27T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Dalheim,Erik,ED,1997-2001,Arbeiderpartiet,A,mann,1940-10-04T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Solheim,Erik,EGS,1997-2001,Sosialistisk Venstreparti,SV,mann,1955-01-18T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Steensnæs,Einar,EIS,1997-2001,Kristelig Folkeparti,KrF,mann,1942-03-10T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Skarbøvik,Elsa,ELSK,1997-2001,Kristelig Folkeparti,KrF,kvinne,1948-11-03T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Skogholt,Einar Olav,EOS,1997-2001,Arbeiderpartiet,A,mann,1947-12-18T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Solberg,Erna,ES,1997-2001,Høyre,H,kvinne,1961-02-24T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Faldet,Eirin,ESF,1997-2001,Arbeiderpartiet,A,kvinne,1944-01-05T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Gundersen,Fridtjof Frank,FFG,1997-2001,Fremskrittspartiet,FrP,mann,1934-10-29T00:00:00,2011-11-11T00:00:00,Akershus,Ak,1.3,1.3,1.3
Marthinsen,Finn Kristian,FKM,1997-2001,Kristelig Folkeparti,KrF,mann,1946-01-17T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Breimo,Gunnar,GBR,1997-2001,Arbeiderpartiet,A,mann,1939-05-23T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Fossum,Grethe G.,GGF,1997-2001,Arbeiderpartiet,A,kvinne,1945-11-01T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Halvorsen,Gunnar,GHA,1997-2001,Arbeiderpartiet,A,mann,1945-07-24T00:00:00,2006-03-06T00:00:00,Aust-Agder,AA,1.3,1.3,1.3
Knudsen,Grete,GK,1997-2001,Arbeiderpartiet,A,kvinne,1940-10-13T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Gjul,Gunn Karin,GKG,1997-2001,Arbeiderpartiet,A,kvinne,1967-07-26T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Kvassheim,Gunnar,GKV,1997-2001,Venstre,V,mann,1953-06-14T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Øyangen,Gunhild,GO,1997-2001,Arbeiderpartiet,A,kvinne,1947-10-31T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Restad,Gudmund,GR,1997-2001,Senterpartiet,Sp,mann,1937-12-19T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Fossli,Grethe,GRF,1997-2001,Arbeiderpartiet,A,kvinne,1954-12-21T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Skaug,Gunnar,GS,1997-2001,Arbeiderpartiet,A,mann,1940-05-25T00:00:00,2006-06-24T00:00:00,Østfold,Øs,1.3,1.3,1.3
Olsen,Gunn,GUO,1997-2001,Arbeiderpartiet,A,kvinne,1952-09-18T00:00:00,2013-12-27T00:00:00,Telemark,Te,1.3,1.3,1.3
Blankenborg,Haakon,HBL,1997-2001,Arbeiderpartiet,A,mann,1955-04-08T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Johnson,Hilde Frafjord,HFJ,1997-2001,Kristelig Folkeparti,KrF,kvinne,1963-08-29T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Langeland,Hallgeir H.,HHL,1997-2001,Sosialistisk Venstreparti,SV,mann,1955-11-14T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Røsjorde,Hans J.,HJR,1997-2001,Fremskrittspartiet,FrP,mann,1941-11-11T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Solberg,Hill-Marta,HMS,1997-2001,Arbeiderpartiet,A,kvinne,1951-11-12T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Nesvik,Harald T.,HTN,1997-2001,Fremskrittspartiet,FrP,mann,1966-05-04T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Godal,Ingvald,IGO,1997-2001,Høyre,H,mann,1934-10-26T00:00:00,0001-01-01T00:00:00,Telemark,Te,1.3,1.3,1.3
Husøy,Inger Lise,ILH,1997-2001,Arbeiderpartiet,A,kvinne,1957-01-30T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Myrvoll,Inge,IM,1997-2001,Sosialistisk Venstreparti,SV,mann,1948-06-21T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Sørfonn,Ingebrigt S.,INGS,1997-2001,Kristelig Folkeparti,KrF,mann,1950-05-27T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Lønning,Inge,INL,1997-2001,Høyre,H,mann,1938-02-20T00:00:00,2013-03-24T00:00:00,Oslo,Os,1.3,1.3,1.3
Stolt-Nielsen,Inger,INS,1997-2001,Høyre,H,kvinne,1943-03-05T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Kristiansen,Ivar,IVK,1997-2001,Høyre,H,mann,1956-02-18T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Østberg,Ivar,IVO,1997-2001,Kristelig Folkeparti,KrF,mann,1942-11-15T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Johnsen,Jan,JAJ,1997-2001,Høyre,H,mann,1941-07-23T00:00:00,2000-04-08T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Dale,John,JD,1997-2001,Senterpartiet,Sp,mann,1940-03-22T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Stoltenberg,Jens,JES,1997-2001,Arbeiderpartiet,A,mann,1959-03-16T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Alvheim,John I.,JIA,1997-2001,Fremskrittspartiet,FrP,mann,1930-05-21T00:00:00,2005-12-05T00:00:00,Telemark,Te,1.3,1.3,1.3
Jakobsen,Johan J.,JJJ,1997-2001,Senterpartiet,Sp,mann,1937-04-15T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
Kosmo,Jørgen,JK,1997-2001,Arbeiderpartiet,A,mann,1947-12-05T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Lilletun,Jon,JL,1997-2001,Kristelig Folkeparti,KrF,mann,1945-10-23T00:00:00,2006-08-21T00:00:00,Vest-Agder,VA,1.3,1.3,1.3
Stang,Jørn L.,JLS,1997-2001,Fremskrittspartiet,FrP,mann,1959-01-17T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Alstad,Jon Olav,JOA,1997-2001,Arbeiderpartiet,A,mann,1968-08-09T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
Petersen,Jan,JP,1997-2001,Høyre,H,mann,1946-06-11T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Rasmussen,Jan Petter,JPR,1997-2001,Arbeiderpartiet,A,mann,1947-06-01T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Ringstad,Jorunn,JR,1997-2001,Senterpartiet,Sp,kvinne,1943-09-03T00:00:00,0001-01-01T00:00:00,Sogn og Fjordane,SF,1.3,1.3,1.3
Simonsen,Jan,JS,1997-2001,Fremskrittspartiet,FrP,mann,1953-03-03T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Sahl,Jan,JSA,1997-2001,Kristelig Folkeparti,KrF,mann,1950-04-20T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Sanner,Jan Tore,JTS,1997-2001,Høyre,H,mann,1965-05-06T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Økland,Kari,KAO,1997-2001,Kristelig Folkeparti,KrF,kvinne,1955-12-16T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Bekkemellem,Karita,KBO,1997-2001,Arbeiderpartiet,A,kvinne,1965-01-15T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Engebretsen,Kjell,KE,1997-2001,Arbeiderpartiet,A,mann,1941-04-29T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Svendsen,Kenneth,KES,1997-2001,Fremskrittspartiet,FrP,mann,1954-08-02T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Halvorsen,Kristin,KHA,1997-2001,Sosialistisk Venstreparti,SV,kvinne,1960-09-02T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Devold,Kristin Krohn,KKD,1997-2001,Høyre,H,kvinne,1961-08-12T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Grøndahl,Kirsti Kolle,KKG,1997-2001,Arbeiderpartiet,A,kvinne,1943-09-01T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Bondevik,Kjell Magne,KMB,1997-2001,Kristelig Folkeparti,KrF,mann,1947-09-03T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Nakkim,Kjellaug,KNA,1997-2001,Høyre,H,kvinne,1940-08-02T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Opseth,Kjell,KO,1997-2001,Arbeiderpartiet,A,mann,1936-01-02T00:00:00,0001-01-01T00:00:00,Sogn og Fjordane,SF,1.3,1.3,1.3
Schjøtt-Pedersen,Karl Eirik,KSP,1997-2001,Arbeiderpartiet,A,mann,1959-10-03T00:00:00,0001-01-01T00:00:00,Finnmark,Fi,1.3,1.3,1.3
Andersen,Karin,KAAN,1997-2001,Sosialistisk Venstreparti,SV,kvinne,1952-12-16T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Kongshaug,Leif Helge,LEK,1997-2001,Venstre,V,mann,1949-07-31T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Lie,Lars Gunnar,LGL,1997-2001,Kristelig Folkeparti,KrF,mann,1938-09-18T00:00:00,0001-01-01T00:00:00,Sogn og Fjordane,SF,1.3,1.3,1.3
Kaland,Laila,LK,1997-2001,Arbeiderpartiet,A,kvinne,1939-01-08T00:00:00,2007-12-30T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Lund,Leif,LLU,1997-2001,Arbeiderpartiet,A,mann,1942-09-24T00:00:00,2004-05-30T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Moland,Liv Marit,LMM,1997-2001,Arbeiderpartiet,A,kvinne,1948-01-15T00:00:00,2008-10-23T00:00:00,Aust-Agder,AA,1.3,1.3,1.3
Solholm,Lodve,LOSO,1997-2001,Fremskrittspartiet,FrP,mann,1949-03-14T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Rise,Lars,LR,1997-2001,Kristelig Folkeparti,KrF,mann,1955-03-18T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Sponheim,Lars,LS,1997-2001,Venstre,V,mann,1957-05-23T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Vihovde,May Britt,MABV,1997-2001,Venstre,V,kvinne,1958-09-15T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Grimstad,May-Helen Molvær,MHG,1997-2001,Kristelig Folkeparti,KrF,kvinne,1968-01-31T00:00:00,0001-01-01T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Bæivi,Mimmi,MIB,1997-2001,Arbeiderpartiet,A,kvinne,1950-06-10T00:00:00,0001-01-01T00:00:00,Finnmark,Fi,1.3,1.3,1.3
Lund,Morten,ML,1997-2001,Senterpartiet,Sp,mann,1945-01-06T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Kleppa,Magnhild Meltveit,MMK,1997-2001,Senterpartiet,Sp,kvinne,1948-11-12T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Nybakk,Marit,MN,1997-2001,Arbeiderpartiet,A,kvinne,1947-02-14T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Tingelstad,Marit,MTI,1997-2001,Senterpartiet,Sp,kvinne,1938-06-18T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Akselsen,Olav,OA,1997-2001,Arbeiderpartiet,A,mann,1965-08-28T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Starrfelt,Oddbjørg Ausdal,OAS,1997-2001,Arbeiderpartiet,A,kvinne,1948-07-22T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Dørum,Odd Einar,ODDØ,1997-2001,Venstre,V,mann,1943-10-12T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Gløtvold,Ola D.,ODG,1997-2001,Senterpartiet,Sp,mann,1949-06-01T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Eriksen,Odd,OE,1997-2001,Arbeiderpartiet,A,mann,1955-03-11T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Holten,Odd,OH,1997-2001,Kristelig Folkeparti,KrF,mann,1940-08-28T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Hedstrøm,Øystein,OHE,1997-2001,Fremskrittspartiet,FrP,mann,1946-08-07T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Brunæs,Ole Johs.,OJB,1997-2001,Høyre,H,mann,1936-02-04T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Djupedal,Øystein,OKD,1997-2001,Sosialistisk Venstreparti,SV,mann,1960-05-05T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Ballo,Olav Gunnar,OLGB,1997-2001,Sosialistisk Venstreparti,SV,mann,1956-10-22T00:00:00,0001-01-01T00:00:00,Finnmark,Fi,1.3,1.3,1.3
Nilsen,Oddvard,ON,1997-2001,Høyre,H,mann,1940-06-24T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Røtvei,Ola,OR,1997-2001,Arbeiderpartiet,A,mann,1953-11-04T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Enoksen,Odd Roger,ORE,1997-2001,Senterpartiet,Sp,mann,1954-09-25T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Lånke,Ola T.,OTL,1997-2001,Kristelig Folkeparti,KrF,mann,1948-03-18T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Vaksdal,Øyvind,OVA,1997-2001,Fremskrittspartiet,FrP,mann,1955-10-19T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Korsberg,Øyvind,OYK,1997-2001,Fremskrittspartiet,FrP,mann,1960-01-31T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Bredvold,Per Roar,PB,1997-2001,Fremskrittspartiet,FrP,mann,1957-03-05T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Monsen,Per Erik,PEM,1997-2001,Fremskrittspartiet,FrP,mann,1946-04-18T00:00:00,2008-02-16T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Width,Per Ove,PEOW,1997-2001,Fremskrittspartiet,FrP,mann,1939-03-27T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Sandberg,Per,PES,1997-2001,Fremskrittspartiet,FrP,mann,1960-02-06T00:00:00,0001-01-01T00:00:00,Nord-Trøndelag,NT,1.3,1.3,1.3
Løvik,Petter,PETL,1997-2001,Høyre,H,mann,1949-07-11T00:00:00,2007-12-03T00:00:00,Møre og Romsdal,MR,1.3,1.3,1.3
Foss,Per-Kristian,PKF,1997-2001,Høyre,H,mann,1950-07-19T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Gravdahl,Reidun,REIG,1997-2001,Arbeiderpartiet,A,kvinne,1948-01-12T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Kristiansen,Rune E.,REK,1997-2001,Arbeiderpartiet,A,mann,1948-10-30T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Frøiland,Ranveig,RF,1997-2001,Arbeiderpartiet,A,kvinne,1945-09-15T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Reikvam,Rolf,RHRE,1997-2001,Sosialistisk Venstreparti,SV,mann,1948-03-12T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Karlstrøm,Randi,RK,1997-2001,Kristelig Folkeparti,KrF,kvinne,1960-06-25T00:00:00,0001-01-01T00:00:00,Finnmark,Fi,1.3,1.3,1.3
Kofoed-Larsen,Rigmor,RKL,1997-2001,Kristelig Folkeparti,KrF,kvinne,1944-03-22T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Tveiten,Rita,RTV,1997-2001,Arbeiderpartiet,A,kvinne,1954-01-22T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Rui,Anne Helen,RUI,1997-2001,Arbeiderpartiet,A,kvinne,1950-10-14T00:00:00,0001-01-01T00:00:00,Vestfold,Ve,1.3,1.3,1.3
Bastesen,Steinar,SEBA,1997-2001,Tverrpolitisk Folkevalgte (Kystpartiet),TF,mann,1945-03-26T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Eng,Sigrun,SEN,1997-2001,Arbeiderpartiet,A,kvinne,1951-06-05T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Sterri,Siri Frost,SFS,1997-2001,Høyre,H,kvinne,1944-09-20T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Ludvigsen,Svein,SHL,1997-2001,Høyre,H,mann,1946-07-18T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Øye,Signe,SIO,1997-2001,Arbeiderpartiet,A,kvinne,1945-06-02T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Jensen,Siv,SIVJ,1997-2001,Fremskrittspartiet,FrP,kvinne,1969-06-01T00:00:00,0001-01-01T00:00:00,Oslo,Os,1.3,1.3,1.3
Brustad,Sylvia,SKB,1997-2001,Arbeiderpartiet,A,kvinne,1966-12-19T00:00:00,0001-01-01T00:00:00,Hedmark,He,1.3,1.3,1.3
Konglevoll,Synnøve,SKO,1997-2001,Arbeiderpartiet,A,kvinne,1972-06-16T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Myrli,Sverre,SMY,1997-2001,Arbeiderpartiet,A,mann,1971-08-26T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Hansen,Sigvald Oppebøen,SOH,1997-2001,Arbeiderpartiet,A,mann,1950-09-21T00:00:00,0001-01-01T00:00:00,Telemark,Te,1.3,1.3,1.3
Sjøli,Sonja Irene,SONS,1997-2001,Høyre,H,kvinne,1949-06-06T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Hoddevik,Sverre J.,SVH,1997-2001,Høyre,H,mann,1946-06-10T00:00:00,0001-01-01T00:00:00,Sogn og Fjordane,SF,1.3,1.3,1.3
Nistad,Thore A.,TAN,1997-2001,Fremskrittspartiet,FrP,mann,1949-05-23T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Johansen,Terje,TEJ,1997-2001,Venstre,V,mann,1941-08-31T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Giske,Trond,TG,1997-2001,Arbeiderpartiet,A,mann,1966-11-07T00:00:00,0001-01-01T00:00:00,Sør-Trøndelag,ST,1.3,1.3,1.3
Jagland,Thorbjørn,TJ,1997-2001,Arbeiderpartiet,A,mann,1950-11-05T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Knudsen,Terje,TK,1997-2001,Fremskrittspartiet,FrP,mann,1942-03-06T00:00:00,0001-01-01T00:00:00,Hordaland,Ho,1.3,1.3,1.3
Norvoll,Tomas,TN,1997-2001,Arbeiderpartiet,A,mann,1972-02-12T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Nymo,Tor,TNY,1997-2001,Senterpartiet,Sp,mann,1940-07-03T00:00:00,0001-01-01T00:00:00,Troms,Tr,1.3,1.3,1.3
Andersen,Torbjørn,TOA,1997-2001,Fremskrittspartiet,FrP,mann,1957-01-05T00:00:00,0001-01-01T00:00:00,Aust-Agder,AA,1.3,1.3,1.3
Nordtun,Tore,TON,1997-2001,Arbeiderpartiet,A,mann,1949-09-30T00:00:00,0001-01-01T00:00:00,Rogaland,Ro,1.3,1.3,1.3
Pedersen,Torny,TP,1997-2001,Arbeiderpartiet,A,kvinne,1946-02-18T00:00:00,0001-01-01T00:00:00,Nordland,No,1.3,1.3,1.3
Rudihagen,Torstein,TR,1997-2001,Arbeiderpartiet,A,mann,1951-08-14T00:00:00,0001-01-01T00:00:00,Oppland,Op,1.3,1.3,1.3
Helleland,Trond,TROH,1997-2001,Høyre,H,mann,1962-07-10T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
Thoresen,Tom,TTH,1997-2001,Arbeiderpartiet,A,mann,1947-05-16T00:00:00,0001-01-01T00:00:00,Østfold,Øs,1.3,1.3,1.3
Evje,Ursula,UE,1997-2001,Fremskrittspartiet,FrP,kvinne,1944-12-13T00:00:00,0001-01-01T00:00:00,Akershus,Ak,1.3,1.3,1.3
Knudsen,Ulf Erik,UEK,1997-2001,Fremskrittspartiet,FrP,mann,1964-12-20T00:00:00,0001-01-01T00:00:00,Buskerud,Bu,1.3,1.3,1.3
